Danh sách sản phẩm rủi ro trung bình;;;;;;;;;;;;;;;;;;;;;;;;;
STT;Tên SPHH;Quy chuẩn kỹ thuật áp dụng;Các công ty;;;;;;;;;;;;;;;;;;;;;;
I;Giấy;;;;;;;;;;;;;;;;;;;;;;;;
1;Khăn giấy và giấy vệ sinh;QCVN 09:2015/BCT;;;;;;;;;;;;;;;;;;;;;;;
II;Hóa chất và sản phẩm chứa hóa chất;;;;;;;;;;;;;;;;;;;;;;;;
1;Đèn huỳnh quang có chứa thủy ngân;QCVN 02A: 2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
2;Natri hydroxit công nghiệp dạng rắn và dạng lỏng;QCVN 03А: 2020/BСТ;;;;;;;;;;;;;;;;;;;;;;;
3;Poly Aluminium Chloride (PAC);QCVN 06A: 2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
4;Amoniac công nghiệp hàm lượng từ 10% đến 35%;QCVN 07A: 2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
5;"Các loại sơn:
- Sơn làm từ các loại polyme tổng hợp hoặc các polyme tự nhiên đã biến đổi về mặt hóa học, đã phân tán hoặc hòa tan trong môi trường không chứa nước;
- Sơn làm từ các loại polyme tổng hợp hoặc các polyme tự nhiên đã biến đổi về mặt hóa học, đã phân tán hoặc hòa tan trong môi trường nước;
- Sơn khác; các loại thuốc màu nước đã pha chế dùng để hoàn thiện da.";QCVN 08: 2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
6;Sản phẩm dệt may chứa formaldehyt và các amin thom chuyển hóa từ thuốc nhuộm azo;QCVN 01:2017/BCT;;;;;;;;;;;;;;;;;;;;;;;
III;"Thuốc nổ công nghiệp
";;;;;;;;;;;;;;;;;;;;;;;;
1;Thuốc nổ Amonit AD1;QCVN 12-23:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
2;"Thuốc nổ TNP1
";QCVN 12-1:2021/BCT;;;;;;;;;;;;;;;;;;;;;;;
3;Thuốc nổ bột không có TNT dùng cho lộ thiên;QCVN 12-4:2021/ВСТ;;;;;;;;;;;;;;;;;;;;;;;
4;Thuốc nổ ANFO ;QCVN 12-27:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
5;Thuốc nổ ANFO chịu nước;QCVN 12-9:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
6;Thuốc nổ nhũ tương dùng cho lộ thiên;QCVN 04:2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
7;Thuốc nổ nhũ tương năng lượng cao dùng cho lộ thiên;QCVN 03:2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
8;"Thuốc nổ nhũ tương dùng cho mỏ hầm lò, công trình ngầm không có khí nổ";QCVN 12-26:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
9;"Thuốc nổ nhũ tương tạo biên dùng cho lộ thiên và mỏ hầm lò, công trình ngầm không có khí nổ";QCVN 12-16:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
10;Thuốc nổ nhũ tương an toàn dùng cho mỏ hầm lò có độ thoát khí mê tan siêu hạng;QCVN 05:2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
11;Thuốc nổ nhũ tương an toàn dùng cho mỏ hẩm lò có khí nổ;QCVN 06:2020/BCT;;;;;;;;;;;;;;;;;;;;;;;
12;Thuốc nổ nhũ tương rời;QCVN 12-10:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
13;Thuốc nổ nhũ tương rời bao gói;QCVN 12-2:2021/BCT;;;;;;;;;;;;;;;;;;;;;;;
IV;"Thuốc nổ mạnh
";;;;;;;;;;;;;;;;;;;;;;;;
1;Thuốc nổ Hexogen ;QCVN 12-13:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
2;Thuốc nổ Trinitrotoluen (TNT);QCVN 12-12:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
3;Thuốc nổ Octogen;QCVN 12-17:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
4;Thuốc nổ Pentrit;QCVN 12-18:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
5;Thuốc nổ hỗn hợp của các loại thuốc nổ mạnh đơn chất;;;;;;;;;;;;;;;;;;;;;;;;
V;Phụ kiện nổ công nghiệp;;;;;;;;;;;;;;;;;;;;;;;;
1;Kíp nổ đốt số 8;QCVN 12-29:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
2;Kíp nổ điện số 8;QCVN 12-25:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
3;Kíp nổ điện vi sai;QCVN 12-28:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
4;Kíp nổ điện vi sai an toàn;QCVN 12-14:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
5;Kíp nổ vi sai phi điện xuống lỗ;QCVN 12-20:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
6;"Kíp nổ vi sai phi điện trên mặt dùng cho lộ thiên, mỏ hầm lò, công trình ngầm không có khí bụi nổ";QCVN 12-21:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
7;Kíp nổ vi sai phi điện dùng cho mỏ hầm lò/đường hầm không có khí bụi nổ;QCVN 12-22:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
8;Kíp vi sai phi điện MS;QCVN 12-5:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
9;Kíp vi sai phi điện nổ chậm LP;QCVN 12-6:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
10;Kíp nổ điện tử;QCVN 12-19:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
11;Dây dẫn tín hiệu nổ;QCVN 12-15:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
12;Dây cháy chậm công nghiệp ;QCVN 12-30:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
13;Dây nổ chịu nước;QCVN 12-31:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
14;Dây nổ thường;QCVN 12-7:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
15;Kíp khởi nổ phi điện (cuộn dây LIL);QCVN 12-8:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
16;Mồi nổ dùng cho thuốc nổ công nghiệp;QCVN 12-24:2024/BCT;;;;;;;;;;;;;;;;;;;;;;;
17;Mìn phá đá quá cỡ;QCVN 12-3:2021/ВСТ;;;;;;;;;;;;;;;;;;;;;;;
18;Mồi nổ tăng cường;QCVN 12-11:2022/BCT;;;;;;;;;;;;;;;;;;;;;;;
VI;"Máy, thiết bị công nghiệp";;;;;;;;;;;;;;;;;;;;;;;;
1;Tời trục mỏ;"QCVN 02:2016/BCT;
Sửa đổi 1:2019 QCVN 02:2016/BCT";;;;;;;;;;;;;;;;;;;;;;;
2;Vì chống thủy lực sử dụng trong mỏ than hầm lò;QCVN 03:2017/BCT;;;;;;;;;;;;;;;;;;;;;;;
3;Máy biến áp phòng nổ;QCVN 03:2019/BCT;;;;;;;;;;;;;;;;;;;;;;;
4;Động cơ điện phòng nổ;QCVN 22:2023/BCT;;;;;;;;;;;;;;;;;;;;;;;
5;Khởi động từ phòng nổ;QCVN 15:2021/BCT;;;;;;;;;;;;;;;;;;;;;;;
